gtin,pname,vname,vlocation
http://www.topgunfireworks.com/tga840.html,"Ridiculously Awesome",7-TGA840.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga830.html,"Skeleton War",8-TGA830.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga831.html,"Night Howler",9-TGA831.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga765.html,"Dragon Fighting",10-TGA765.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga832.html,"Big Boys",11-TGA832.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima105.html,"Psycho Clown",15-IMA105.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga851.html,"Sonic Gun",16-TGA851.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga860.html,"Absolute Justice",17-TGA860.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga648.html,"Crowning of the Champions",18-TGA648.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga649.html,"Western Ranger",19-TGA649.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga635.html,"The Second Amendment",20-TGA635.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga805.html,"Meteor Shower",21-TGA805.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga768.html,"Noisy Glitzy",22-TGA768.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga772.html,"Lava Sky",23-TGA772.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga802.html,"Tiger Power",24-TGA802.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga650.html,"Bubble Storm",25-TGA650.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima113.html,"Welcome To Earth",1-IMA113.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga846.html,"Xtreme Challenge",2-TGA846.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima114.html,"Bonus Night",3-IMA114.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga799.html,"Hot Pink Bomb",4-TGA799.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga587.html,"King of Brocade Crown",5-TGA587.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4108.html,"Laser Sabers",1-IM4108.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4109.html,"Neon Fire",2-IM4109.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4266.html,"Fish Tank",3-TG4266.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4104.html,"Pyro Engine",4-IM4104.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4258.html,Overvoltage,6-TG4258.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4110.html,"5 Minute Safari",8-IM4110.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4265.html,"Mega Buster",9-TG4265.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4272.html,"Galactic Warship",10-TG4252.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4226.html,"Soda Fountain",11-TG4226.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4254.html,"Yellow Submarine",15-TG4254.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4253.html,Gremlins,17-TG4253.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4256.html,"Pirate's Treasure",18-TG4256.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4233.html,"Popcorn Snowballs",19-TG4233.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4145.html,"Pumpkin Pie",21-TG4145.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4189.html,"That Arthur Dudes Sword",22-TG4189.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4241.html,"#7 Conic Fountain",23-TG4241.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga885.html,"Mean Alien","05-TGA885 Mean Alien.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima132.html,Billiards,"01-IMA132 Billiards.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima134.html,Singularity,"06-IMA134 Singularity.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima126.html,"Long Load","07-IMA126 Long Load.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima123.html,"Big Bigger Biggest","09-IMA123 Big Bigger Biggest.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima129.html,"Chain Reaction","10-IMA129 Chain Reaction.mp4",/media/pi/VIDEOS/videos/
887946004701,"King of the Wave",11-tga881_king_of_the_wave_147.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga881.html,"King of the Wave",11-tga881_king_of_the_wave_147.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4117.html,"Baby Boy & Baby Girl Fountain","01-IM4117Baby Boy & Baby Girl Fountain.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4270.html,"Sparkling Missile Fountian","02-TG4270 Sparkling Missile Fountain.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4271.html,"Flush It!","04-TG4271 Flush It!.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tg4273.html,"Ice Cream Cone","06-TG4273 Ice Cream Cone.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4116.html,"Gold Bar","07-IM4116 Gold Bar.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4113.html,"Hyper Beast","01-IM4113 Hyper Beast.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima110.html,"Creeping Things",6-IMA110.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga877.html,"Oragnes and Grapes",7-TGA877.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima115.html,"God of the Sea",8-IMA115.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima112.html,"Tropical Adventrue",9-IMA112.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga786.html,"Magical Carnival",10-TGA786.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga874.html,"Celebrate America",11-TGA874.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga833.html,"Desert Eagle",15-TGA833.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga834.html,"Jungle Beast",16-TGA834.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga835.html,"Fantastic Thunder",17-TGA835.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga836.html,"Striking Rainbow",18-TGA836.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga839.html,Raze,19-TGA839.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga848.html,"Bombing Mission",20-TGA848.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga837.html,"Purple Lightning",21-TGA837.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga838.html,"Red Tornado",22-TGA838.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga847.html,"Haunted Mansion",23-TGA847.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga606.html,"Color Smoke Wall",24-TGA606.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga773.html,"Twisted Monkey",26-TGA773.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga669.html,Purplicious,27-TGA669.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga759.html,"I Pledge Allegience",28-TGA759.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga769.html,"Gem Mining",29-TGA769.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga771.html,"Prime Target",30-TGA771.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima116.html,"Evil Phoenix",3-IMA116.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga849.html,"Glitter Attack",4-TGA849.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga850.html,"Full of Blue",5-TGA850.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga662.html,"Dream Reaver",6-TGA662.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga861.html,"Break The Silence",7-TGA861.mp4,/media/pi/VIDEOS/videos/
887946004824,Merica,"03-IMA135 Merica.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima135.html,Merica,"03-IMA135 Merica.mp4",/media/pi/VIDEOS/videos/
887946004718,"Hey! It Lasts 90 seconds!","01-TGA882  Hey! It lasts 90 seconds!.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga882.html,"Hey! It Lasts 90 seconds!","01-TGA882  Hey! It lasts 90 seconds!.mp4",/media/pi/VIDEOS/videos/
887946004541,"Vampire Tears","02-IMA121 Vampire Tears.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima121.html,"Vampire Tears","02-IMA121 Vampire Tears.mp4",/media/pi/VIDEOS/videos/
887946004763,"Iron Fists","03-IMA133 Iron Fists.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima133.html,"Iron Fists","03-IMA133 Iron Fists.mp4",/media/pi/VIDEOS/videos/
887946004725,"Ridiculously Amazing","04-TGA883 Ridiculously Amazing.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga883.html,"Ridiculously Amazing","04-TGA883 Ridiculously Amazing.mp4",/media/pi/VIDEOS/videos/
887946004732,"Ultimate Victory","05-IMA131 Ultimate Victory.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima131.html,"Ultimate Victory","05-IMA131 Ultimate Victory.mp4",/media/pi/VIDEOS/videos/
887946005296,"1-TGA905 Noisy Flashy","1-TGA905 Noisy Flashy.mp4",/media/pi/VIDEOS/videos/
887946005111,"2-IMA160 Steel Wings","2-IMA160 Steel Wings.mp4",/media/pi/VIDEOS/videos/
887946005166,"4-TGA903 Gumball Machine","4-TGA903 Gumball Machine.mp4",/media/pi/VIDEOS/videos/
887946005050,"5-IMA150 Piranha Attack","5-IMA150 Piranha Attack.mp4",/media/pi/VIDEOS/videos/
887946005210,"6-IMA157 Golden Glamour","6-IMA157 Golden Glamour.mp4",/media/pi/VIDEOS/videos/
887946005104,"7-IMA151 Laser Blitz","7-IMA151 Laser Blitz.mp4",/media/pi/VIDEOS/videos/
887946005142,"8-IMA155  Road to Freedom","8-IMA155  Road to Freedom.mp4",/media/pi/VIDEOS/videos/
887946005227,"9-IMA158 Bluetiful Lime Blue","9-IMA158 Bluetiful Lime Blue.mp4",/media/pi/VIDEOS/videos/
887946005364,"10-TGA910 Nova Drift","10-TGA910 Nova Drift.mp4",/media/pi/VIDEOS/videos/
887946005357,"11-TGA908 Triple Win","11-TGA908 Triple Win.mp4",/media/pi/VIDEOS/videos/
887946005340,"12-TGA907 205 Shot Angry Bullets","12-TGA907 205 Shot Angry Bullets.mp4",/media/pi/VIDEOS/videos/
887946005371,"13-TG6094  280 Shot Bomb Shooter","13-TG6094  280 Shot Bomb Shooter.mp4",/media/pi/VIDEOS/videos/
887946062497,"14-TG6093 Tornado Volcano","14-TG6093 Tornado Volcano.mp4",/media/pi/VIDEOS/videos/
887946062527,"15-TG6095 100 Shot Star Maker","15-TG6095 100 Shot Star Maker.mp4",/media/pi/VIDEOS/videos/
887946005098,"16-TGA896 200 Shot Silver Strident Saturn Missile Battery","16-TGA896 200 Shot Silver Strident Saturn Missile Battery.mp4",/media/pi/VIDEOS/videos/
887946071505,"17-TGR531 Rocket Fuel","17-TGR531 Rocket Fuel.mp4",/media/pi/VIDEOS/videos/
887946071529,"18-TGR532 Smiley Face Rocket","18-TGR532 Smiley Face Rocket.mp4",/media/pi/VIDEOS/videos/
887946010979,"19-IM1112 Longshot 5 Super Shells","19-IM1112 Longshot 5 Super Shells.mp4",/media/pi/VIDEOS/videos/
887946011013,"21-IM1113 Multi Task Force","21-IM1113 Multi Task Force.mp4",/media/pi/VIDEOS/videos/
887946010986,"22-TG1095 Wonder 4","22-TG1095 Wonder 4.mp4",/media/pi/VIDEOS/videos/
887946042123,"23-TG4276 Mini Fiery","23-TG4276 Mini Fiery.mp4",/media/pi/VIDEOS/videos/
887946042116,"24-TG4277 Sparkling Rocket Fountain","24-TG4277 Sparkling Rocket Fountain.mp4",/media/pi/VIDEOS/videos/
887946042192,"25-TG4279 #10 Assorted Conic Fountains","25-TG4279 #10 Assorted Conic Fountains.mp4",/media/pi/VIDEOS/videos/
887946042086,"26-TG4274  Buck Saw","26-TG4274  Buck Saw.mp4",/media/pi/VIDEOS/videos/
887946042130,"27-TG4278 Clown Tricks(Reloadable Fountains)","27-TG4278 Clown Tricks(Reloadable Fountains).mp4",/media/pi/VIDEOS/videos/
887946031301,"28-TG3055 Smoky Ghost","28-TG3055 Smoky Ghost.mp4",/media/pi/VIDEOS/videos/
887946051804,"29-TG5150 Double Surprise Crackling Balls","29-TG5150 Double Surprise Crackling Balls.mp4",/media/pi/VIDEOS/videos/
887946051798,"30-TG5149 Party Poppers","30-TG5149 Party Poppers.mp4",/media/pi/VIDEOS/videos/
887946062503,"31-TG7033 Neon Morning Glory","31-TG7033 Neon Morning Glory.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga886.html,"TGA886 Puffer Fish",tga886_727.mp4,/media/pi/VIDEOS/videos/
887946002738,"TGA761 Honey Badger Does Care",tga761_647.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga761.html,"TGA761 Honey Badger Does Care",tga761_647.mp4,/media/pi/VIDEOS/videos/
887946000635,"TGA246 Sky Diving",tga246-ok_480.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga246.html,"TGA246 Sky Diving",tga246-ok_480.mp4,/media/pi/VIDEOS/videos/
887946004886,"IMA136 Justice Squad",ima136_01_338.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima136.html,"IMA136 Justice Squad",ima136_01_338.mp4,/media/pi/VIDEOS/videos/
887946004893,"IMA137 Skull Buster",ima137_372.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima137.html,"IMA137 Skull Buster",ima137_372.mp4,/media/pi/VIDEOS/videos/
887946001168,"TGA297 Pyro Mates",tga297_676.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga297.html,"TGA297 Pyro Mates",tga297_676.mp4,/media/pi/VIDEOS/videos/
171203502209,"#8 Rockets.mp4","#8 Rockets.mp4",/media/pi/VIDEOS/videos/
705108545216,"GM578 Neon Blast","GM578 Neon Blast.mp4",/media/pi/VIDEOS/videos
680149049667,"GM775 Neon Skies","GM775 Neon Skies.mp4",/media/pi/VIDEOS/videos
192537311541,"MS134 Space Race - ISS","MS134 Space Race - ISS.mp4",/media/pi/VIDEOS/videos
192537311534,"MS134 Space Race - Voyager","MS134 Space Race - Voyager.mp4",/media/pi/VIDEOS/videos
687985269419,"MX161 Game Over","MX161 Game Over.mp4",/media/pi/VIDEOS/videos
680149049681,"GM791 Snap Crackle POP","GM791 Snap Crackle Pop.mp4",/media/pi/VIDEOS/videos
705834233953,"MS574A Classic Warebirds - Mustang","MS574A Classic Warbirds - Mustang.mp4",/media/pi/VIDEOS/videos
705834033957,"MS574B Classic Warebirds - Wildcat","MS574B Classic Warbirds - Wildcat.mp4",/media/pi/VIDEOS/videos
705834023958,"MS574C Classic Warebirds - Warhawk","MS574C Classic Warbirds - Warhawk.mp4",/media/pi/VIDEOS/videos
705834013959,"MS574D Classic Warebirds - Lightning","MS574D Classic Warbirds - Lightning.mp4",/media/pi/VIDEOS/videos
192537002890,"RL289 Wildcat Cartridges","RL289 Wildcat Cartridges.mp4",/media/pi/VIDEOS/videos
84152155213,"84152155213_TS5521_ Phoenix_Return","84152155213_TS5521_ Phoenix_Return.mp4",/media/pi/VIDEOS/videos/
84152156357,84152156357_TS5635_Good_times,84152156357_TS5635_Good_times.mp4,/media/pi/VIDEOS/videos/
841527152502,841527152502_TS5250_Red_white_N_Bling,841527152502_TS5250_Red_white_N_Bling.mp4,/media/pi/VIDEOS/videos/
841527159617,841527159617_TS5261_Memorial_day,841527159617_TS5261_Memorial_day.mp4,/media/pi/VIDEOS/videos/
87233005130,87233005130_M513_Never_Say_Die,87233005130_M513_Never_Say_Die.mp4,/media/pi/VIDEOS/videos/
87533005009,87533005009_M560_Bigger_Is_Better,87533005009_M560_Bigger_Is_Better.mp4,/media/pi/VIDEOS/videos/
87533005090,87533005090_M509_Night_on_the_Town,87533005090_M509_Night_on_the_Town.mp4,/media/pi/VIDEOS/videos/
87533005380,87533005380_M538_Neighbor_Revenge,87533005380_M538_Neighbor_Revenge.mp4,/media/pi/VIDEOS/videos/
87533031808,87533031808_M318_Shenanigans,87533031808_M318_Shenanigans.mp4,/media/pi/VIDEOS/videos/
875330020000,875330020000_M200_Speed_of_Light_Rocket,875330020000_M200_Speed_of_Light_Rocket.mp4,/media/pi/VIDEOS/videos/
875330020208,875330020208_M202_Rockets_Red_Glare_Stick_Rocket,875330020208_M202_Rockets_Red_Glare_Stick_Rocket.mp4,/media/pi/VIDEOS/videos/
875330030405,875330030405_M304_Master_Minds_spinning_Ftn,875330030405_M304_Master_Minds_spinning_Ftn.mp4,/media/pi/VIDEOS/videos/
875330030603,875330030603_M306_Jokers_Wild,875330030603_M306_Jokers_Wild.mp4,/media/pi/VIDEOS/videos/
875330031204,875330031204_M312_Fatal_Attraction,875330031204_M312_Fatal_Attraction.mp4,/media/pi/VIDEOS/videos/
875330031303,875330031303_M313_All_Systems_Go,875330031303_M313_All_Systems_Go.mp4,/media/pi/VIDEOS/videos/
875330031501,875330031501_M315_Solar_Flair,875330031501_M315_Solar_Flair.mp4,/media/pi/VIDEOS/videos/
875330031600,875330031600_M316_Burn_Out,875330031600_M316_Burn_Out.mp4,/media/pi/VIDEOS/videos/
875330031709,875330031709_M317_Flare_Up_Fiasco,875330031709_M317_Flare_Up_Fiasco.mp4,/media/pi/VIDEOS/videos/
875330050007,875330050007_M500_Slammin,875330050007_M500_Slammin.mp4,/media/pi/VIDEOS/videos/
875330050106,875330050106_M501_Winning_Streak,875330050106_M501_Winning_Streak.mp4,/media/pi/VIDEOS/videos/
875330050304,875330050304_M503_Thundering_Stampede,875330050304_M503_Thundering_Stampede.mp4,/media/pi/VIDEOS/videos/
875330050403,875330050403_M504_Mine_Field,875330050403_M504_Mine_Field.mp4,/media/pi/VIDEOS/videos/
875330050601,875330050601_M506_Silent_Strike,875330050601_M506_Silent_Strike.mp4,/media/pi/VIDEOS/videos/
875330051103,875330051103_M511_Mr_Power,875330051103_M511_Mr_Power.mp4,/media/pi/VIDEOS/videos/
875330051400,875330051400_M514_Go_Ahead_and_Fire_Me,875330051400_M514_Go_Ahead_and_Fire_Me.mp4,/media/pi/VIDEOS/videos/
875330051509,875330051509_M515_Girls_Night_Out,875330051509_M515_Girls_Night_Out.mp4,/media/pi/VIDEOS/videos/
875330051806,875330051806_M518_Total_Eclipse_3_in_Tubes,875330051806_M518_Total_Eclipse_3_in_Tubes.mp4,/media/pi/VIDEOS/videos/
875330051905,875330051905_M519_Dont_Mess_with_Me,875330051905_M519_Dont_Mess_with_Me.mp4,/media/pi/VIDEOS/videos/
875330052100,875330052100_M521_Full_Throttle,875330052100_M521_Full_Throttle.mp4,/media/pi/VIDEOS/videos/
875330052209,875330052209_M522_Mighty_Mines,875330052209_M522_Mighty_Mines.mp4,/media/pi/VIDEOS/videos/
875330052407,875330052407_M524_Hit_the_Jackpot,875330052407_M524_Hit_the_Jackpot.mp4,/media/pi/VIDEOS/videos/
875330052506,875330052506_M525_We_Will_Rock_It,875330052506_M525_We_Will_Rock_It.mp4,/media/pi/VIDEOS/videos/
875330053602,875330053602_M536_Absolute_Power,875330053602_M536_Absolute_Power.mp4,/media/pi/VIDEOS/videos/
875330053701,875330053701_M537_Blue_Angels,875330053701_M537_Blue_Angels.mp4,/media/pi/VIDEOS/videos/
875330053909,875330053909_M539_Fast_and_Furious,875330053909_M539_Fast_and_Furious.mp4,/media/pi/VIDEOS/videos/
875330054104,875330054104_M541_Full_Metal_Jacket,875330054104_M541_Full_Metal_Jacket.mp4,/media/pi/VIDEOS/videos/
875330054203,875330054203_M542_Touch_the_Sky,875330054203_M542_Touch_the_Sky.mp4,/media/pi/VIDEOS/videos/
875330054302,875330054302_M543_Call_of_Duty,875330054302_M543_Call_of_Duty.mp4,/media/pi/VIDEOS/videos/
875330054609,875330054609_M546_Top_Performer,875330054609_M546_Top_Performer.mp4,/media/pi/VIDEOS/videos/
875330054708,875330054708_M547_America_the_Beautiful,875330054708_M547_America_the_Beautiful.mp4,/media/pi/VIDEOS/videos/
875330054807,875330054807_M548_Assassins_Assault,875330054807_M548_Assassins_Assault.mp4,/media/pi/VIDEOS/videos/
875330054906,875330054906_M549_Too_Good_To_Be_Real,875330054906_M549_Too_Good_To_Be_Real.mp4,/media/pi/VIDEOS/videos/
875330055002,875330055002_M550_This_Is_Getting_Good,875330055002_M550_This_Is_Getting_Good.mp4,/media/pi/VIDEOS/videos/
875330055101,875330055101_M551_Mega_Storm,875330055101_M551_Mega_Storm.mp4,/media/pi/VIDEOS/videos/
875330055200,875330055200_M552_All_Trumped_Up,875330055200_M552_All_Trumped_Up.mp4,/media/pi/VIDEOS/videos/
875330055309,875330055309_553A_875330055316_553B_M553_Conquer_and_Distroy,875330055309_553A_875330055316_553B_M553_Conquer_and_Distroy.mp4,/media/pi/VIDEOS/videos/
875330055507,875330055507_M555_Special_Ops_Forces,875330055507_M555_Special_Ops_Forces.mp4,/media/pi/VIDEOS/videos/
875330055705,875330055705_M557_Critical_Mass,875330055705_M557_Critical_Mass.mp4,/media/pi/VIDEOS/videos/
875330055903,875330055903_M559_Size_Matters,875330055903_M559_Size_Matters.mp4,/media/pi/VIDEOS/videos/
875330056207,875330056207_M562_Fantasy_Football_2inch_tubes,875330056207_M562_Fantasy_Football_2inch_tubes.mp4,/media/pi/VIDEOS/videos/
875330060105,875330060105_M601_Ready_Set_Go_ftn_and_cake,875330060105_M601_Ready_Set_Go_ftn_and_cake.mp4,/media/pi/VIDEOS/videos/
875330060204,875330060204_M602_Snake_Eyes,875330060204_M602_Snake_Eyes.mp4,/media/pi/VIDEOS/videos/
875330060303,875330060303_M603_War_of_the_Worlds,875330060303_M603_War_of_the_Worlds.mp4,/media/pi/VIDEOS/videos/
875330060709,875330060709_M607_Royal_Flush,875330060709_M607_Royal_Flush.mp4,/media/pi/VIDEOS/videos/
875330060808,875330060808_M608_Blazing_Hot,875330060808_M608_Blazing_Hot.mp4,/media/pi/VIDEOS/videos/
875330060907,875330060907_M609_Dare_Devil,875330060907_M609_Dare_Devil.mp4,/media/pi/VIDEOS/videos/
875330061508,875330061508_M615_Lucky_Stars,875330061508_M615_Lucky_Stars.mp4,/media/pi/VIDEOS/videos/
875330061607,875330061607_M616_High_Roller,875330061607_M616_High_Roller.mp4,/media/pi/VIDEOS/videos/
875330061706,875330061706_M617_Danger_Zone,875330061706_M617_Danger_Zone.mp4,/media/pi/VIDEOS/videos/
875330061805,875330061805_M618_Heavy_Hitter,875330061805_M618_Heavy_Hitter.mp4,/media/pi/VIDEOS/videos/
875330061904,875330061904_M619_Battle_Brigade,875330061904_M619_Battle_Brigade.mp4,/media/pi/VIDEOS/videos/
875330062000,875330062000_M620_Evil_Eye,875330062000_M620_Evil_Eye.mp4,/media/pi/VIDEOS/videos/
875330080004,875330080004_M800_Rising_Hero_Artillery_Shells,875330080004_M800_Rising_Hero_Artillery_Shells.mp4,/media/pi/VIDEOS/videos/
875330080202,875330080202_M802_Dark_Force,875330080202_M802_Dark_Force.mp4,/media/pi/VIDEOS/videos/
875330080301,875330080301_M803_Ultimate_Force_60g_canister_shell,875330080301_M803_Ultimate_Force_60g_canister_shell.mp4,/media/pi/VIDEOS/videos/
875330080400,875330080400_M804_Surge_of_Power,875330080400_M804_Surge_of_Power.mp4,/media/pi/VIDEOS/videos/
875330080509,875330080509_M805_Lighting_Blast,875330080509_M805_Lighting_Blast.mp4,/media/pi/VIDEOS/videos/
875330080806,875330080806_M808_Tricky_Bomb_double_breaks,875330080806_M808_Tricky_Bomb_double_breaks.mp4,/media/pi/VIDEOS/videos/
875330081100,875330081100_M811_All_out_War,875330081100_M811_All_out_War.mp4,/media/pi/VIDEOS/videos/
875330081209,875330081209_M812_Artillery_Arsenal,875330081209_M812_Artillery_Arsenal.mp4,/media/pi/VIDEOS/videos/
975330061201,975330061201_M612_Night_Thunder,975330061201_M612_Night_Thunder.mp4,/media/pi/VIDEOS/videos/
887946003544,Malicious,8-TGA844.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga842.html,"Aqua Thunder",12-TGA842.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga024.html,Bulldozer,4-TGA024.mp4,/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga887.html,Bulldozer,"01-TGA887 Bulldozer.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima128.html,"Dual Shot","03-IMA128 Dual Shot.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga888.html,"Neon Mirage","06-TGA888 Neon Mirage.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/tga878.html,"02-TGA878 1 Minute Revelry","02-TGA878 1 Minute Revelry.mp4",/media/pi/VIDEOS/videos/
887946004770,Singularity,"06-IMA134 Singularity.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/ima127.html,"Sky Conqueror","08-IMA127 Sky Conqueror.mp4",/media/pi/VIDEOS/videos/
http://www.topgunfireworks.com/im4111.html,"Golden Crown","05-IM4111 Golden Crown.mp4",/media/pi/VIDEOS/videos/
8753303009,8753303009_M300_Sweet_Spot_Fountain,8753303009_M300_Sweet_Spot_Fountain.mp4,/media/pi/VIDEOS/videos/
100000257043,100000257043_FB257_Fox_Howl,100000257043_FB257_Fox_Howl.mp4,/media/pi/VIDEOS/videos/
100000303016,100000303016_FB303_Witch_Craft,100000303016_FB303_Witch_Craft.mp4,/media/pi/VIDEOS/videos/
185108243778,185108243778_FB2570_Happy_4th,185108243778_FB2570_Happy_4th.mp4,/media/pi/VIDEOS/videos/
193936959129,193936959129_FB342_Go_Banana,193936959129_FB342_Go_Banana.mp4,/media/pi/VIDEOS/videos/
193936959778,193936959778_FB2099_78S_Iron_Mission,193936959778_FB2099_78S_Iron_Mission.mp4,/media/pi/VIDEOS/videos/
193936960811,193936960811_FB2592_182S_Pump_Up_The_Jam,193936960811_FB2592_182S_Pump_Up_The_Jam.mp4,/media/pi/VIDEOS/videos/
193936961320,193936961320_FB2595_Dragons_Claw,193936961320_FB2595_Dragons_Claw.mp4,/media/pi/VIDEOS/videos/
193936961337,193936961337_FB2596_Shockwave,193936961337_FB2596_Shockwave.mp4,/media/pi/VIDEOS/videos/
